"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"RNF25","Q96BH1",21091.2024733333,24986.242188,"nonmito",""
"RNF31","Q96EP0",21195.1236966667,20406.226564,"nonmito",""
"RNF34","Q969K3;Q969K3-2",8977.81380066667,9223.1481446,"nonmito",""
"RNF40","O75150",9847.17708433333,10228.5528312,"nonmito",""
"RNF7","Q9UBF6",47754.39974,44667.245312,"nonmito",""
"RNGTT","O60942;O60942-2",17743.2985033333,12711.494338,"nonmito",""
"RNH1","P13489",1182683,1074815.775,"nonmito",""
"RNMT","O43148;O43148-2",42259.9830733333,37300.103906,"nonmito",""
"RNPEP","Q9H4A4",153394.000033333,177620.3969,"nonmito",""
"RNPS1","Q15287;Q15287-2;Q15287-3",97287.0677166667,85301.855476,"nonmito",""
"RO60","P10155",115712.013033333,84559.9,"nonmito",""
"ROCK1","Q13464",29067.1738266667,35025.83047,"nonmito",""
"ROCK2","O75116",63691.7526066667,68281.417972,"nonmito",""
"ROMO1","P60602",57572.5468766667,56898.796878,"mito",""
"RP2","O75695",59210.6393266667,64603.257814,"nonmito",""
"RPA1","P27694",41920.70703,32088.00039,"nonmito",""
"RPA2","P15927;P15927-2;P15927-3",34163.4980466667,32965.006642,"nonmito",""
"RPA3","P35244",74536.41146,53009.049218,"nonmito",""
"RPAP1","Q9BWH6;Q9BWH6-2",15963.97526,16882.856248,"nonmito",""
"RPAP3","Q9H6T3",26117.1308566667,25064.560546,"nonmito",""
"RPE","Q96AT9;Q96AT9-2;Q96AT9-4",167298.901033333,115102.667188,"nonmito",""
"RPF1","Q9H9Y2",15775.9648433333,12693.8888666,"nonmito",""
"RPF2","Q9H7B2",68234.76302,59145.217188,"nonmito",""
"RPIA","P49247",24053.6722,26223.258396,"mito",""
"RPL10","P27635",636212.208333333,659473.875,"nonmito",""
"RPL10A","P62906",319576.3646,312125.57502,"nonmito",""
"RPL11","P62913-2",687923.041666667,720071.65,"nonmito",""
"RPL12","P30050",690610.8125,871199.6375,"nonmito",""
"RPL13","P26373",949791.583333333,1158307.125,"nonmito",""
"RPL13A","P40429",461360.958333333,554498.925,"nonmito",""
"RPL14","P50914",1549371.70833333,1470118.05,"nonmito",""
"RPL15","P61313",486728.020866667,487915.07502,"nonmito",""
"RPL17","P18621;P18621-3",253542.3594,448721.32502,"nonmito",""
"RPL18","Q07020",1085628.5,1046534.0125,"nonmito",""
"RPL18A","Q02543",634617.3125,633749.3,"nonmito",""
"RPL19","P84098",624411.895833333,653267.625,"nonmito",""
"RPL21","P46778",248276.4271,285909.56564,"nonmito",""
"RPL22","P35268",990586.125,986910.0501,"nonmito",""
"RPL22L1","Q6P5R6",41385.1145833333,57041.818752,"nonmito",""
"RPL23","P62829",731351.729166667,723367.475,"nonmito",""
"RPL23A","P62750",172973.312533333,294843.48126,"nonmito",""
"RPL24","P83731",784174,628297.35,"nonmito",""
"RPL26","P61254",686897.458333333,695415.4,"nonmito",""
"RPL27","P61353",836149.541666667,955529.1877,"nonmito",""
"RPL27A","P46776",2007035.29166667,1945164.675,"nonmito",""
"RPL28","P46779",293758.6042,346270.77502,"nonmito",""
"RPL29","P47914",259485.968766667,370140.90628,"nonmito",""
"RPL3","P39023",383279.833333333,372642.05002,"nonmito",""
"RPL30","P62888",1294211.91666667,1099437.2626,"nonmito",""
"RPL31","P62899;P62899-2;P62899-3",1230690.04166667,1343905.55,"nonmito",""
"RPL32","P62910",235240.161466667,308720.61878,"nonmito",""
"RPL34","P49207",299151.083366667,435089.25002,"nonmito",""
"RPL35","P42766",326843.750033333,464751.48752,"nonmito",""
"RPL35A","P18077",576418.625,590335.4375,"nonmito",""
"RPL36","Q9Y3U8",1468580.20833333,1319003.95,"nonmito",""
"RPL36AL","Q969Q0",548765.4271,592835.375,"nonmito",""
"RPL37A","P61513",197708.078133333,210737.70002,"nonmito",""
"RPL38","P63173",71297.2265633333,131266.714042,"nonmito",""
"RPL4","P36578",466619.395866667,590627.5125,"nonmito",""
"RPL5","P46777",459453.718766667,497812.28128,"nonmito",""
