"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"CLIC4","Q9Y696",297799,265303.333333333,"Q9Y696","nonmito",""
"CLINT1","Q14677-3",223018.333333333,223485,"Q14677","nonmito",""
"CLIP1","P30622-2",110476.666666667,106419,"P30622","nonmito",""
"CLK2","P49760;P49760-3",128145,130694.666666667,"P49760","nonmito",""
"CLN5","O75503",197150,214014.333333333,"O75503","nonmito",""
"CLNS1A","P54105",656587,660384.333333333,"P54105","nonmito",""
"CLP1","Q92989",154822.666666667,144400,"Q92989","nonmito",""
"CLPB","Q9H078-2",272089.333333333,268845.333333333,"Q9H078","mito",""
"CLPP","Q16740",204830.333333333,243374,"Q16740","mito",""
"CLPTM1","O96005",272731.666666667,322271.666666667,"O96005","nonmito",""
"CLPTM1L","Q96KA5;Q96KA5-2",160832,134216.666666667,"Q96KA5","nonmito",""
"CLPX","O76031",200774.333333333,210539,"O76031","mito",""
"CLSPN","Q9HAW4;Q9HAW4-3",87985.9,86402.3666666667,"Q9HAW4","nonmito",""
"CLTA","P09496-2",551139,607087,"P09496","nonmito",""
"CLTB","P09497-2",160980.333333333,186914.333333333,"P09497","nonmito",""
"CLTC","Q00610;Q00610-2",655109.333333333,699859,"Q00610","nonmito",""
"CLTCL1","P53675",532021,644966,"P53675","nonmito",""
"CLUH","O75153",147818.666666667,251010,"O75153","nonmito",""
"CMAS","Q8NFW8",180422.333333333,150104.333333333,"Q8NFW8","nonmito",""
"CMBL","Q96DG6",223694.666666667,199032,"Q96DG6","nonmito",""
"CMC1","Q7Z7K0",75902.1666666667,85147.7333333333,"Q7Z7K0","mito",""
"CMPK1","P30085",231629,234435.666666667,"P30085","nonmito",""
"CMSS1","Q9BQ75;Q9BQ75-2",160635,132758,"Q9BQ75","nonmito",""
"CMTR1","Q8N1G2",155830,151261.666666667,"Q8N1G2","nonmito",""
"CNBP","P62633;P62633-2",523534.333333333,455571,"P62633","nonmito",""
"CNDP2","Q96KP4",434498.333333333,370223.333333333,"Q96KP4","nonmito",""
"CNN2","Q99439",183164,214120.666666667,"Q99439","nonmito",""
"CNN3","Q15417",309541.666666667,382372.333333333,"Q15417","nonmito",""
"CNNM3","Q8NE01;Q8NE01-2",85064.6333333333,123504,"Q8NE01","nonmito",""
"CNNM4","Q6P4Q7",60686.5,43141.1,"Q6P4Q7","nonmito",""
"CNOT1","A5YKK6",177956.666666667,207739.666666667,"A5YKK6","nonmito",""
