"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"LSM12","Q3MHD2;Q3MHD2-2",716014.666666667,677034.333333333,"Q3MHD2","nonmito",""
"LSM14A","Q8ND56;Q8ND56-2;Q8ND56-3",259417.333333333,243334.333333333,"Q8ND56","nonmito",""
"LSM14B","Q9BX40",188745.666666667,169782.333333333,"Q9BX40","nonmito",""
"LSM2","Q9Y333",523917,458434.333333333,"Q9Y333","nonmito",""
"LSM3","P62310",1463580,1336543.33333333,"P62310","nonmito",""
"LSM4","Q9Y4Z0",294701.666666667,386764.333333333,"Q9Y4Z0","nonmito",""
"LSM5","Q9Y4Y9",314433.333333333,213398.666666667,"Q9Y4Y9","nonmito",""
"LSM6","P62312",397796.666666667,422124.333333333,"P62312","nonmito",""
"LSM8","O95777",391706.666666667,327321.666666667,"O95777","nonmito",""
"LSR","Q86X29;Q86X29-4;Q86X29-5;Q86X29-6",119621.666666667,144881,"Q86X29","nonmito",""
"LSS","P48449",173282.666666667,222094.666666667,"P48449","nonmito",""
"LTA4H","P09960",486960.666666667,470964.333333333,"P09960","nonmito",""
"LTF","P02788;P02788-2",479642.333333333,376293.666666667,"P02788","nonmito",""
"LTN1","O94822;O94822-3",70822.0333333333,61824,"O94822","nonmito",""
"LTV1","Q96GA3",119699.666666667,135429.333333333,"Q96GA3","nonmito",""
"LUC7L","Q9NQ29;Q9NQ29-2",314758,381421,"Q9NQ29","nonmito",""
"LUC7L3","O95232",110845.166666667,126771.333333333,"O95232","nonmito",""
"LUZP1","Q86V48;Q86V48-2;Q86V48-3",91701.4,80179.4666666667,"Q86V48","nonmito",""
"LYAR","Q9NX58",183113.666666667,199311,"Q9NX58","nonmito",""
"LYN","P07948-2",113266.333333333,107617.333333333,"P07948","nonmito",""
"LYPLA1","O75608",275322,300198.333333333,"O75608","mito",""
"LYPLA2","O95372",171106,191318.333333333,"O95372","nonmito",""
"LYPLAL1","Q5VWZ2",237217,223507.333333333,"Q5VWZ2","mito",""
"LYRM4","Q9HD34",172490.333333333,175312.666666667,"Q9HD34","mito",""
"LYRM7","Q5U5X0",172733,145375.666666667,"Q5U5X0","mito",""
"LYSMD1","Q96S90",153043.333333333,140587.333333333,"Q96S90","nonmito",""
"LYST","Q99698;Q99698-2;Q99698-3",38342.9,36044.3,"Q99698","nonmito",""
"LYZ","P61626",36748.45,85978.9333333333,"P61626","nonmito",""
"LZIC","Q8WZA0;Q8WZA0-2",239233.333333333,192586,"Q8WZA0","nonmito",""
"LZTFL1","Q9NQ48",193905.333333333,179288.333333333,"Q9NQ48","nonmito",""
"LZTS2","Q9BRK4",84443.35,132289.5,"Q9BRK4","nonmito",""
"M6PR","P20645",247771.666666667,215800.666666667,"P20645","nonmito",""
"MACF1","Q9UPN3-2",111760.333333333,99188.7333333333,"Q9UPN3","nonmito",""
"MACROD1","Q9BQ69",245743.666666667,185661.666666667,"Q9BQ69","mito",""
"MACROH2A1","O75367;O75367-3",656179.333333333,657310.666666667,"O75367","nonmito",""
"MACROH2A2","Q9P0M6",238368.333333333,217935,"Q9P0M6","nonmito",""
"MAD1L1","Q9Y6D9",141968.666666667,155628.666666667,"Q9Y6D9","nonmito",""
"MAD2L1","Q13257",425564.333333333,429133.333333333,"Q13257","nonmito",""
"MAEA","Q7L5Y9",116847,114914,"Q7L5Y9","nonmito",""
"MAF1","Q9H063",83426.6333333333,87689.8333333333,"Q9H063","nonmito",""
"MAGED1","Q9Y5V3;Q9Y5V3-2",159905.666666667,157334.333333333,"Q9Y5V3","nonmito",""
"MAGED2","Q9UNF1",335542.333333333,271716.333333333,"Q9UNF1","nonmito",""
"MAGED4","Q96JG8;Q96JG8-2;Q96JG8-4",139036,109116.666666667,"0","nonmito",""
"MAGI1","Q96QZ7;Q96QZ7-2;Q96QZ7-3;Q96QZ7-4;Q96QZ7-5;Q96QZ7-6;Q96QZ7-7",49434.6,63310.7,"Q96QZ7","nonmito",""
"MAGI3","Q5TCQ9;Q5TCQ9-3",65049.15,71200.6666666667,"Q5TCQ9","nonmito",""
"MAGOHB","Q96A72",651644.333333333,696897.666666667,"Q96A72","nonmito",""
"MAGT1","Q9H0U3",335908,317050.666666667,"Q9H0U3","nonmito",""
"MAIP1","Q8WWC4",185909.666666667,169327.333333333,"Q8WWC4","mito",""
"MAK16","Q9BXY0",145042.666666667,128804.666666667,"Q9BXY0","nonmito",""
"MALSU1","Q96EH3",52578.6666666667,53726.7666666667,"Q96EH3","mito",""
"MALT1","Q9UDY8",72498.2666666667,71904.3333333333,"Q9UDY8","nonmito",""
"MAML1","Q92585",94486.8666666667,87535.7333333333,"Q92585","nonmito",""
"MAN1A1","P33908",70604.25,57784.0666666667,"P33908","nonmito",""
"MAN2A1","Q16706",97949.4,95473.0666666667,"Q16706","nonmito",""
"MAN2B1","O00754;O00754-2",87709.4,102914.333333333,"O00754","nonmito",""
"MAN2C1","Q9NTJ4;Q9NTJ4-2;Q9NTJ4-3;Q9NTJ4-4",1422683.33333333,1155510,"Q9NTJ4","nonmito",""
"MANF","P55145",222699,215740.333333333,"P55145","nonmito",""
"MAP1A","P78559",147622.333333333,138227.666666667,"P78559","nonmito",""
"MAP1B","P46821",216301.333333333,165932.333333333,"P46821","nonmito",""
"MAP1S","Q66K74;Q66K74-2",277618,247354.666666667,"Q66K74","nonmito",""
"MAP2K1","Q02750",245610.333333333,224640.333333333,"Q02750","nonmito",""
"MAP2K2","P36507",153247,146209.333333333,"P36507","nonmito",""
"MAP2K3","P46734;P46734-3",187772.333333333,204296.666666667,"P46734","nonmito",""
"MAP2K4","P45985;P45985-2",147463.666666667,149679,"P45985","nonmito",""
"MAP2K6","P52564",128442.666666667,160607.666666667,"P52564","nonmito",""
